size,bubble,select,insert,shells
25,1615,879,851,950
50,5890,2656,2967,2469
75,12732,5075,5989,4247
100,21149,8225,10163,5820
125,32033,12204,15515,7897
150,45546,17011,22571,10810
175,60388,22460,30256,13829
200,76954,28439,38352,15694
225,95873,35266,47726,18288
250,115375,42827,58741,20964
275,92273,31351,33186,22420
300,106798,36463,39484,25616
325,123296,42177,44000,28227
350,139471,49714,50788,31293
375,166962,53688,56779,33861
400,172913,59703,64046,34835
425,191080,65690,71799,37885
450,214229,74354,81754,40357
475,231971,82421,89872,43994
500,251955,88580,99012,46947
525,275156,96225,108497,46497
550,302691,103534,119509,50781
575,321837,111508,129639,53801
600,349217,124876,164729,60303
625,423575,133272,151178,62743
650,398391,141763,160993,63210
675,525611,148609,174885,65397
700,453976,162358,186753,70485
725,487258,168380,198022,71526
750,567634,178707,216598,75498
775,608168,195405,228133,76101
800,625134,201734,243306,76039
825,614921,213901,258305,80890
850,667081,226705,275662,83501
875,877845,239271,290170,88809
900,728847,248696,311914,89255
925,755674,271176,320374,92422
950,789858,284793,340463,96350
975,873545,289696,355715,98575
1000,880857,315306,369381,102718
1025,908952,324796,391691,113928
1050,953873,337911,409465,103849
1075,1000209,346165,430883,106785
1100,1045511,360896,455250,111745
1125,1280521,378043,474237,114512
1150,1151814,393041,495557,121080
1175,1193781,419550,513874,121471
1200,1370089,424437,541878,126167
1225,1378804,461110,580729,139593
1250,1341975,469968,579471,132390
1275,1445619,481821,600618,139088
1300,1456985,496449,634618,140563
1325,1493016,511720,647087,141713
1350,1556871,529764,677734,144307
1375,1714901,556908,702506,149005
1400,1791210,580604,725295,154113
1425,1785762,603768,746657,152067
1450,1896171,606781,774481,159576
1475,1955744,626890,798064,161656
1500,2286729,646205,827749,167321
1525,1979334,669350,862621,173163
1550,2098830,686140,876110,169055
1575,2131084,715116,906447,166455
1600,2180760,738272,956507,169318
1625,2429549,757152,965422,177550
1650,2391960,776928,991110,180584
1675,2714058,806894,1030305,181471
1700,2830105,834443,1046433,184503
1725,2526489,839445,1084803,194642
1750,2894894,862006,1121505,195141
1775,2649584,891712,1146803,201698
1800,2849968,912661,1183206,198780
1825,2986918,958206,1212464,199329
1850,2939198,978650,1240604,210476
1875,2983216,1000500,1290524,207084
1900,3314182,1015672,1314101,216617
1925,3412076,1050240,1341861,212186
1950,3643897,1074168,1393231,223863
1975,3405956,1109716,1430971,228168
2000,3691357,1125528,1463108,228634
