size,isort,qsort
5,77,91,
6,118,116,
7,122,148,
8,145,178,
9,169,247,
10,198,245,
11,227,277,
12,252,313,
13,288,345,
14,340,392,
15,360,420,
16,409,460,
17,440,499,
18,475,547,
19,522,559,
20,571,612,
21,698,696,
22,735,684,
23,698,713,
24,754,751,
25,798,790,
26,866,894,
27,735,943,
28,588,903,
29,662,927,
30,663,949,
31,776,1119,
32,722,1025,
33,792,1081,
34,802,1104,
35,898,1149,
36,872,1177,
37,936,1224,
38,961,1264,
39,1002,1303,
40,1104,1339,
41,1100,1387,
42,1133,1417,
43,1168,1461,
44,1513,1789,
45,1352,1544,
46,1308,1590,
47,1363,1627,
48,1512,1677,
49,1476,1718,
50,1516,1746,
51,1552,1789,
52,1630,1965,
53,1693,1880,
54,1715,1920,
55,1847,1972,
56,1866,2003,
57,1963,2051,
58,1950,2104,
59,2058,2135,
60,2059,2188,
61,2116,2225,
62,2185,2274,
63,2296,2319,
64,2314,2373,
65,2998,3485,
66,3330,2706,
67,2524,2632,
68,2687,2535,
69,2782,2604,
70,2780,2608,
71,2914,2681,
72,2855,2710,
73,2879,2781,
74,3085,2800,
75,3263,2855,
76,3393,2942,
77,3278,2948,
78,3263,3034,
79,3828,3033,
80,3417,3085,
81,3470,3121,
82,3561,3449,
83,3799,3241,
84,3722,3314,
85,3810,3329,
86,3854,3768,
87,4355,3397,
88,4908,3463,
89,5650,3494,
90,4317,3534,
91,4279,3611,
92,4596,3625,
93,4791,3690,
94,4540,3743,
95,4989,3786,
96,4684,4166,
97,4800,3855,
98,4904,3910,
99,4963,3956,
100,5028,4018,
101,5173,4049,
102,5228,4325,
103,5318,4159,
104,5401,4198,
105,5475,4248,
106,5641,4618,
107,6078,4339,
108,5826,4630,
109,5955,4459,
110,6109,4502,
111,6121,4559,
112,6576,4559,
113,6290,4657,
114,6448,4723,
115,6566,4739,
116,6828,4927,
117,7374,4853,
118,6842,4869,
119,8147,5047,
120,7068,4982,
121,7237,5048,
122,7433,5127,
123,7471,5159,
124,7515,5193,
125,7671,5247,
126,7922,5323,
127,7874,5358,
128,7991,5429,
129,8112,5475,
130,8223,5542,
131,8387,5594,
132,8600,5703,
133,8773,5782,
134,8875,5927,
135,9156,5954,
136,9154,5988,
137,9632,6041,
138,9434,6160,
139,9482,6184,
140,9631,6278,
141,9756,6288,
142,10439,6373,
143,9916,6445,
144,10092,6614,
145,10360,6581,
146,10290,6609,
147,10373,6669,
148,10569,6753,
149,10635,6809,
150,10708,6834,
151,10908,6901,
152,10905,6980,
153,10983,7029,
154,12590,7063,
155,11313,7173,
156,11234,7207,
157,11395,7255,
158,11539,7359,
159,11624,7481,
160,12029,7851,
161,12024,7708,
162,11994,7605,
163,12118,7708,
164,12200,7736,
165,12368,7770,
166,12437,7867,
167,12564,7931,
168,12670,7976,
169,12790,8171,
170,13337,8095,
171,12950,8167,
172,16730,8188,
173,13280,8280,
174,16609,8328,
175,13437,8387,
176,14575,8475,
177,13666,8510,
178,14379,8632,
179,13987,8633,
180,14571,8664,
181,14148,8732,
182,14320,8775,
183,14335,8826,
184,14517,8913,
185,14591,9240,
186,14674,10118,
187,15365,9200,
188,15066,9117,
189,15112,9792,
190,15354,9243,
191,15265,9275,
192,15358,9406,
193,15901,9434,
194,17848,9565,
195,16131,9518,
196,16782,9563,
197,16028,9635,
198,16285,9724,
199,16421,9783,
200,16524,9857,
